"x53" "x54" "x55" "x56" "x57" "x58" "x59" "x60" "x61" "x62" "x63" "x64" "x65" "x66" "x67" "x68" "x69" "x70" "x71"
"Acaryophrya.collaris" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Actinobolina.multinucleata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Afroamphisiella.multinucleata.n..sp." 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Afrothrix.multinucleata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.binucleata.multicirrata.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.elegans.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.longiseries.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.magnigranulosa" 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"Amphisiella.multinucleata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.namibiensis.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"Amphisiella.polycirrata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.procera.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.terricola" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphisiella.vitiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anatoliocirrus.capari.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apertospathula.armata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apertospathula.dioplites.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apertospathula.inermis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Apobryophyllum.etoschense.(n..sp.)" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Apobryophyllum.terricola" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apobryophyllum.vermiforme.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apocolpodidium.etoschense.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Apocyclidium.obliquum.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoenchelys.bamforthi.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apospathidium.atypicum.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apospathidium.terricola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apourosomoida.halophila.n..sp." 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.cultriforme.lionotiforme" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.cultriforme.megastoma.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.etoschense.n..sp." 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"Arcuospathidium.lorjeae.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.multinucleatum" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"Arcuospathidium.muscorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.namibiense.namibiense.n..sp..n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.namibiense.tristicha.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.novaki.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcuospathidium.vlassaki.(n..sp.)" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bakuella.granulifera.n..sp." 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Balantidioides.dragescoi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bilamellophrya.etoschensis.n..sp." 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Birojimia.muscorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blepharisma.bimicronucleatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blepharisma.hyalinum" 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"Blepharisma.steini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bresslaua.insidiatrix" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Bresslaua.vorax" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bryometopus.atypicus" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Bryometopus.pseudochilodon" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bryometopus.triquetrus" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bryophyllum.lingua.multistriatum.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Bryophyllum.loxophylliforme" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bryophyllum.paucistriatum.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bryophyllum.penardi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bursaria.truncatella" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Chilodonella.uncinata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cinetochilum.margaritaceum" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Circinella.filiformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clavoplites.australiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clavoplites.edaphicus.n..sp." 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Clavoplites.terrenum.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.aspera" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1
"Colpoda.cavicola.amicronucleata.n..ssp." 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.cavicola.cavicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.cucullus" 0 1 1 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0
"Colpoda.ecaudata" 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0
"Colpoda.edaphoni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.elliotti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.formisanoi.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colpoda.henneguyi" 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0
"Colpoda.inflata" 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0
"Colpoda.lucida" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Colpoda.magna" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Colpoda.maupasi" 0 1 1 1 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1
"Colpoda.minima" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Colpoda.orientalis" 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0
"Colpoda.steinii" 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1
"Colpoda.variabilis" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Colpodidium.caudatum" 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0
"Colpodidium.horribile.n..sp." 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Colpodidium.trichocystiferum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Condylostomides.etoschensis.n..sp." 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
"Condylostomides.trinucleatus.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coriplites.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyrtohymena.candens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyrtohymena.citrina" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyrtohymena.quadrinucleata" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Cyrtolophosis.mucicola" 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
"Deviata.bacilliformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"Dileptus.americanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dileptus.armatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dileptus.breviproboscis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dileptus.mucronatus" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dileptus.similis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dileptus.terrenus" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Dioplitophrya.otti.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diplites.arenicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Diplites.telmatobius.(n..sp.)" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Drepanomonas.exigua.bidentata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Drepanomonas.muscicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Drepanomonas.pauciciliata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Drepanomonas.revoluta" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Drepanomonas.sphagni" 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Enchelaria.multinucleata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelydium.amphora" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelyodon.armatides.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelyodon.longinucleatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelyodon.megastoma.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelyodon.minutus.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelyodon.nodosus" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Enchelyodon.terrenus" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Enchelyotricha.jesnerae.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelys.geleii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelys.longitricha.n..sp." 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enchelys.multinucleata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Enchelys.polynucleata.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epispathidium.amphoriforme" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epispathidium.ascendens" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Epispathidium.polynucleatum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Epispathidium.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epistylis.alpestris" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Epitholiolus.chilensis.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erimophrya.arenicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erimophrya.glatzeli.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eschaneustyla.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Etoschophrya.oscillatoriophaga.n..sp." 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Etoschothrix.terricola.n..sp." 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Euplotopsis.incisa.n..sp." 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"Euplotopsis.muscicola" 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0
"Euplotopsis.muscicola.alatus" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Exocolpoda.augustini.n..comb." 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0
"Frontonia.angusta.obovata.n..ssp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Frontonia.angusta.solea" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Frontonia.depressa" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Frontonia.terricola" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"Furgasonia.theresae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Fuscheria.lacustris" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fuscheria.nodosa" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
