Girdled	Hardwood	Hemlock	Logged
0	0	1	1
15	15	2	10
46	59	27	22
2	2	4	3
0	0	0	3
0	1	0	0
0	0	1	0
1	0	1	1
6	0	3	4
1	5	0	1
1	0	0	0
0	1	0	0
1	0	0	1
2	1	0	2
0	0	1	0
1	1	2	2
0	1	0	0
0	1	0	0
1	0	1	0
1	1	1	0
0	0	0	4
0	1	0	0
0	0	0	2
0	5	1	0
0	1	0	0
0	0	1	0
15	0	2	8
0	0	0	1
0	0	0	1
17	26	11	15
0	0	0	1
0	1	0	0
0	0	0	1
0	0	0	13
9	0	0	88
0	0	0	1
0	0	0	1
1	9	0	8
1	0	0	5
22	95	20	16
2	1	0	0
0	6	0	1
0	0	0	1
4	0	2	4
0	0	0	1
0	1	1	0
6	0	2	3
0	0	0	2
1	1	0	0
1	1	4	0
8	10	12	7
1	0	0	0
2	1	4	3
0	1	2	1
0	1	0	0
0	1	0	0
0	0	0	7
0	0	0	7
